   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 123 5000 25
Inverse_Sorted_Vector 69 5000 25
Inverse_Sorted_Vector 119 5000 25
Inverse_Sorted_Vector 62 5000 25
Inverse_Sorted_Vector 110 5000 25
Inverse_Sorted_Vector 62 5000 25
Inverse_Sorted_Vector 137 5000 25
Inverse_Sorted_Vector 44 5000 25
   Average 

Sample_Type m n Runtime
Random_Vector 30 5000 50
Random_Vector 64 5000 50
Random_Vector 20 5000 50
Random_Vector 32 5000 50
Random_Vector 19 5000 50
Random_Vector 38 5000 50
Random_Vector 28 5000 50
Random_Vector 43 5000 50
Random_Vector 64 5000 50
Random_Vector 18 5000 50
   Average 

Sample_Type m n Runtime
Sorted_Vector 1 5000 50
Sorted_Vector 1 5000 50
Sorted_Vector 1 5000 50
Sorted_Vector 1 5000 50
Sorted_Vector 0 5000 50
Sorted_Vector 1 5000 50
Sorted_Vector 1 5000 50
Sorted_Vector 1 5000 50
Sorted_Vector 0 5000 50
Sorted_Vector 0 5000 50
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 50 5000 50
Inverse_Sorted_Vector 58 5000 50
Inverse_Sorted_Vector 37 5000 50
Inverse_Sorted_Vector 38 5000 50
Inverse_Sorted_Vector 122 5000 50
Inverse_Sorted_Vector 107 5000 50
Inverse_Sorted_Vector 93 5000 50
Inverse_Sorted_Vector 61 5000 50
Inverse_Sorted_Vector 45 5000 50
Inverse_Sorted_Vector 37 5000 50
   Average 

Sample_Type m n Runtime
Random_Vector 81 10000 10
Random_Vector 275 10000 10
Random_Vector 134 10000 10
Random_Vector 192 10000 10
Random_Vector 201 10000 10
Random_Vector 215 10000 10
Random_Vector 222 10000 10
Random_Vector 168 10000 10
Random_Vector 91 10000 10
Random_Vector 176 10000 10
   Average 

Sample_Type m n Runtime
Sorted_Vector 0 10000 10
Sorted_Vector 0 10000 10
Sorted_Vector 0 10000 10
Sorted_Vector 1 10000 10
Sorted_Vector 1 10000 10
Sorted_Vector 1 10000 10
Sorted_Vector 0 10000 10
Sorted_Vector 0 10000 10
Sorted_Vector 0 10000 10
Sorted_Vector 0 10000 10
   Average 

Sample_Type m n Runtime
Inverse_Sorted_Vector 445 10000 10
Inverse_Sorted_Vector 460 10000 10
Inverse_Sorted_Vector 195 10000 10
Inverse_Sorted_Vector 354 10000 10
Inverse_Sorted_Vector 144 10000 10
Inverse_Sorted_Vector 312 10000 10
Inverse_Sorted_Vector 172 10000 10
Inverse_Sorted_Vector 474 10000 10
Inverse_Sorted_Vector 461 10000 10
